Starting compute_accuracy with topN = 850
Sorted indices by anomaly score.
Top 850 indices after sorting:
idx[0] = 826, as[826] = 103259, attack[826] = 0
idx[482] = 1131, as[1131] = 2000, attack[1131] = 1
idx[483] = 483, as[483] = 2000, attack[483] = 0
idx[484] = 484, as[484] = 2000, attack[484] = 0
idx[485] = 1130, as[1130] = 2000, attack[1130] = 1
idx[486] = 1129, as[1129] = 2000, attack[1129] = 1
idx[487] = 1128, as[1128] = 2000, attack[1128] = 1
idx[488] = 1127, as[1127] = 2000, attack[1127] = 1
idx[489] = 489, as[489] = 2000, attack[489] = 1
idx[490] = 490, as[490] = 2000, attack[490] = 1
idx[491] = 343, as[343] = 2000, attack[343] = 0
idx[492] = 342, as[342] = 2000, attack[342] = 0
idx[493] = 341, as[341] = 2000, attack[341] = 0
idx[494] = 1126, as[1126] = 2000, attack[1126] = 1
idx[495] = 1125, as[1125] = 2000, attack[1125] = 1
idx[496] = 1124, as[1124] = 2000, attack[1124] = 1
idx[497] = 1123, as[1123] = 2000, attack[1123] = 1
idx[498] = 1122, as[1122] = 2000, attack[1122] = 1
idx[499] = 1121, as[1121] = 2000, attack[1121] = 0
idx[500] = 1120, as[1120] = 2000, attack[1120] = 1
idx[501] = 1119, as[1119] = 2000, attack[1119] = 0
idx[502] = 1118, as[1118] = 2000, attack[1118] = 1
idx[503] = 1117, as[1117] = 2000, attack[1117] = 0
idx[504] = 1116, as[1116] = 2000, attack[1116] = 0
idx[505] = 1115, as[1115] = 2000, attack[1115] = 1
idx[506] = 1114, as[1114] = 2000, attack[1114] = 0
idx[507] = 1113, as[1113] = 2000, attack[1113] = 1
idx[508] = 1112, as[1112] = 2000, attack[1112] = 0
idx[509] = 1111, as[1111] = 2000, attack[1111] = 0
idx[510] = 1110, as[1110] = 2000, attack[1110] = 1
idx[511] = 1109, as[1109] = 2000, attack[1109] = 1
idx[512] = 1108, as[1108] = 2000, attack[1108] = 1
idx[513] = 340, as[340] = 2000, attack[340] = 1
idx[514] = 337, as[337] = 2000, attack[337] = 1
idx[515] = 333, as[333] = 2000, attack[333] = 1
idx[516] = 1107, as[1107] = 2000, attack[1107] = 1
idx[517] = 1106, as[1106] = 2000, attack[1106] = 1
idx[518] = 318, as[318] = 2000, attack[318] = 0
idx[519] = 317, as[317] = 2000, attack[317] = 0
idx[520] = 316, as[316] = 2000, attack[316] = 0
idx[521] = 315, as[315] = 2000, attack[315] = 0
idx[522] = 1105, as[1105] = 2000, attack[1105] = 1
idx[523] = 293, as[293] = 2000, attack[293] = 0
idx[524] = 292, as[292] = 2000, attack[292] = 0
idx[525] = 291, as[291] = 2000, attack[291] = 0
idx[526] = 526, as[526] = 2000, attack[526] = 0
idx[527] = 290, as[290] = 2000, attack[290] = 0
idx[528] = 528, as[528] = 2000, attack[528] = 0
idx[529] = 289, as[289] = 2000, attack[289] = 0
idx[530] = 530, as[530] = 2000, attack[530] = 0
idx[531] = 531, as[531] = 2000, attack[531] = 0
idx[532] = 532, as[532] = 2000, attack[532] = 0
idx[533] = 288, as[288] = 2000, attack[288] = 1
idx[534] = 3, as[3] = 2000, attack[3] = 0
idx[535] = 1103, as[1103] = 2000, attack[1103] = 1
idx[536] = 1102, as[1102] = 2000, attack[1102] = 1
idx[537] = 1101, as[1101] = 2000, attack[1101] = 1
idx[538] = 1100, as[1100] = 2000, attack[1100] = 1
idx[539] = 1099, as[1099] = 2000, attack[1099] = 1
idx[540] = 1098, as[1098] = 2000, attack[1098] = 1
idx[541] = 1097, as[1097] = 2000, attack[1097] = 1
idx[542] = 1096, as[1096] = 2000, attack[1096] = 1
idx[543] = 1095, as[1095] = 2000, attack[1095] = 1
idx[544] = 1094, as[1094] = 2000, attack[1094] = 1
idx[545] = 1093, as[1093] = 2000, attack[1093] = 1
idx[546] = 1092, as[1092] = 2000, attack[1092] = 1
idx[547] = 1091, as[1091] = 2000, attack[1091] = 1
idx[548] = 1090, as[1090] = 2000, attack[1090] = 1
idx[549] = 1089, as[1089] = 2000, attack[1089] = 1
idx[550] = 1038, as[1038] = 2000, attack[1038] = 1
idx[551] = 1037, as[1037] = 2000, attack[1037] = 1
idx[552] = 1036, as[1036] = 2000, attack[1036] = 1
idx[553] = 1035, as[1035] = 2000, attack[1035] = 1
idx[554] = 1034, as[1034] = 2000, attack[1034] = 1
idx[555] = 1033, as[1033] = 2000, attack[1033] = 1
idx[556] = 1032, as[1032] = 2000, attack[1032] = 1
idx[557] = 1031, as[1031] = 2000, attack[1031] = 1
idx[558] = 1030, as[1030] = 2000, attack[1030] = 1
idx[559] = 1029, as[1029] = 2000, attack[1029] = 1
idx[560] = 1028, as[1028] = 2000, attack[1028] = 1
idx[561] = 1027, as[1027] = 2000, attack[1027] = 1
idx[562] = 1026, as[1026] = 2000, attack[1026] = 1
idx[563] = 1025, as[1025] = 2000, attack[1025] = 1
idx[564] = 1024, as[1024] = 2000, attack[1024] = 1
idx[565] = 1023, as[1023] = 2000, attack[1023] = 1
idx[566] = 1022, as[1022] = 2000, attack[1022] = 1
idx[567] = 1021, as[1021] = 2000, attack[1021] = 1
idx[568] = 1020, as[1020] = 2000, attack[1020] = 1
idx[569] = 1019, as[1019] = 2000, attack[1019] = 1
idx[570] = 1018, as[1018] = 2000, attack[1018] = 1
idx[571] = 1017, as[1017] = 2000, attack[1017] = 1
idx[572] = 1011, as[1011] = 2000, attack[1011] = 1
idx[573] = 1010, as[1010] = 2000, attack[1010] = 1
idx[574] = 1009, as[1009] = 2000, attack[1009] = 1
idx[575] = 1008, as[1008] = 2000, attack[1008] = 1
idx[576] = 1007, as[1007] = 2000, attack[1007] = 1
idx[577] = 1006, as[1006] = 2000, attack[1006] = 0
idx[578] = 1005, as[1005] = 2000, attack[1005] = 0
idx[579] = 1004, as[1004] = 2000, attack[1004] = 0
idx[580] = 1003, as[1003] = 2000, attack[1003] = 0
idx[581] = 1002, as[1002] = 2000, attack[1002] = 1
idx[582] = 1001, as[1001] = 2000, attack[1001] = 1
idx[583] = 1000, as[1000] = 2000, attack[1000] = 1
idx[584] = 999, as[999] = 2000, attack[999] = 1
idx[585] = 287, as[287] = 2000, attack[287] = 0
idx[586] = 286, as[286] = 2000, attack[286] = 0
idx[587] = 998, as[998] = 2000, attack[998] = 1
idx[588] = 997, as[997] = 2000, attack[997] = 1
idx[589] = 996, as[996] = 2000, attack[996] = 1
idx[590] = 995, as[995] = 2000, attack[995] = 1
idx[591] = 994, as[994] = 2000, attack[994] = 1
idx[592] = 993, as[993] = 2000, attack[993] = 0
idx[593] = 262, as[262] = 2000, attack[262] = 0
idx[594] = 261, as[261] = 2000, attack[261] = 0
idx[595] = 989, as[989] = 2000, attack[989] = 0
idx[596] = 988, as[988] = 2000, attack[988] = 0
idx[597] = 4, as[4] = 2000, attack[4] = 0
idx[598] = 986, as[986] = 2000, attack[986] = 0
idx[599] = 985, as[985] = 2000, attack[985] = 0
idx[600] = 984, as[984] = 2000, attack[984] = 0
idx[601] = 5, as[5] = 2000, attack[5] = 0
idx[602] = 602, as[602] = 2000, attack[602] = 1
idx[603] = 981, as[981] = 2000, attack[981] = 1
idx[604] = 2, as[2] = 2000, attack[2] = 0
idx[605] = 605, as[605] = 2000, attack[605] = 1
idx[606] = 606, as[606] = 2000, attack[606] = 0
idx[607] = 980, as[980] = 2000, attack[980] = 0
idx[608] = 979, as[979] = 2000, attack[979] = 0
idx[609] = 19, as[19] = 2000, attack[19] = 0
idx[610] = 21, as[21] = 2000, attack[21] = 0
idx[611] = 22, as[22] = 2000, attack[22] = 0
idx[612] = 23, as[23] = 2000, attack[23] = 0
idx[613] = 974, as[974] = 2000, attack[974] = 0
idx[614] = 24, as[24] = 2000, attack[24] = 0
idx[615] = 972, as[972] = 2000, attack[972] = 0
idx[616] = 971, as[971] = 2000, attack[971] = 0
idx[617] = 970, as[970] = 2000, attack[970] = 0
idx[618] = 25, as[25] = 2000, attack[25] = 0
idx[619] = 26, as[26] = 2000, attack[26] = 0
idx[620] = 957, as[957] = 2000, attack[957] = 0
idx[621] = 621, as[621] = 2000, attack[621] = 1
idx[622] = 622, as[622] = 2000, attack[622] = 1
idx[623] = 623, as[623] = 2000, attack[623] = 1
idx[624] = 624, as[624] = 2000, attack[624] = 1
idx[625] = 625, as[625] = 2000, attack[625] = 0
idx[626] = 626, as[626] = 2000, attack[626] = 0
idx[627] = 627, as[627] = 2000, attack[627] = 0
idx[628] = 628, as[628] = 2000, attack[628] = 0
idx[629] = 629, as[629] = 2000, attack[629] = 0
idx[630] = 630, as[630] = 2000, attack[630] = 0
idx[631] = 956, as[956] = 2000, attack[956] = 1
idx[632] = 27, as[27] = 2000, attack[27] = 0
idx[633] = 633, as[633] = 2000, attack[633] = 1
idx[634] = 634, as[634] = 2000, attack[634] = 0
idx[635] = 635, as[635] = 2000, attack[635] = 1
idx[636] = 28, as[28] = 2000, attack[28] = 0
idx[637] = 29, as[29] = 2000, attack[29] = 0
idx[638] = 30, as[30] = 2000, attack[30] = 0
idx[639] = 639, as[639] = 2000, attack[639] = 1
idx[640] = 31, as[31] = 2000, attack[31] = 0
idx[641] = 943, as[943] = 2000, attack[943] = 0
idx[642] = 642, as[642] = 2000, attack[642] = 0
idx[643] = 942, as[942] = 2000, attack[942] = 0
idx[644] = 644, as[644] = 2000, attack[644] = 0
idx[645] = 645, as[645] = 2000, attack[645] = 0
idx[646] = 646, as[646] = 2000, attack[646] = 0
idx[647] = 940, as[940] = 2000, attack[940] = 0
idx[648] = 939, as[939] = 2000, attack[939] = 0
idx[649] = 649, as[649] = 2000, attack[649] = 0
idx[650] = 650, as[650] = 2000, attack[650] = 0
idx[651] = 938, as[938] = 2000, attack[938] = 0
idx[652] = 937, as[937] = 2000, attack[937] = 0
idx[653] = 653, as[653] = 2000, attack[653] = 0
idx[654] = 654, as[654] = 2000, attack[654] = 0
idx[655] = 935, as[935] = 2000, attack[935] = 0
idx[656] = 934, as[934] = 2000, attack[934] = 0
idx[657] = 657, as[657] = 2000, attack[657] = 1
idx[658] = 933, as[933] = 2000, attack[933] = 0
idx[659] = 894, as[894] = 2000, attack[894] = 0
idx[660] = 892, as[892] = 2000, attack[892] = 0
idx[661] = 887, as[887] = 2000, attack[887] = 0
idx[662] = 886, as[886] = 2000, attack[886] = 0
idx[663] = 885, as[885] = 2000, attack[885] = 0
idx[664] = 881, as[881] = 2000, attack[881] = 0
idx[665] = 879, as[879] = 2000, attack[879] = 0
idx[666] = 877, as[877] = 2000, attack[877] = 0
idx[667] = 667, as[667] = 2000, attack[667] = 0
idx[668] = 876, as[876] = 2000, attack[876] = 0
idx[669] = 875, as[875] = 2000, attack[875] = 0
idx[670] = 874, as[874] = 2000, attack[874] = 0
idx[671] = 870, as[870] = 2000, attack[870] = 0
idx[672] = 868, as[868] = 2000, attack[868] = 0
idx[673] = 867, as[867] = 2000, attack[867] = 0
idx[674] = 865, as[865] = 2000, attack[865] = 0
idx[675] = 864, as[864] = 2000, attack[864] = 0
idx[676] = 858, as[858] = 2000, attack[858] = 1
idx[677] = 80, as[80] = 2000, attack[80] = 0
idx[678] = 81, as[81] = 2000, attack[81] = 0
idx[679] = 847, as[847] = 2000, attack[847] = 0
idx[680] = 846, as[846] = 2000, attack[846] = 0
idx[681] = 845, as[845] = 2000, attack[845] = 0
idx[682] = 844, as[844] = 2000, attack[844] = 0
idx[683] = 843, as[843] = 2000, attack[843] = 0
idx[684] = 842, as[842] = 2000, attack[842] = 0
idx[685] = 94, as[94] = 2000, attack[94] = 0
idx[686] = 95, as[95] = 2000, attack[95] = 0
idx[687] = 98, as[98] = 2000, attack[98] = 0
idx[688] = 838, as[838] = 2000, attack[838] = 1
idx[689] = 100, as[100] = 2000, attack[100] = 0
idx[690] = 199, as[199] = 2000, attack[199] = 0
idx[691] = 198, as[198] = 2000, attack[198] = 0
idx[692] = 197, as[197] = 2000, attack[197] = 0
idx[693] = 101, as[101] = 2000, attack[101] = 0
idx[694] = 122, as[122] = 2000, attack[122] = 0
idx[695] = 123, as[123] = 2000, attack[123] = 0
idx[696] = 124, as[124] = 2000, attack[124] = 0
idx[697] = 125, as[125] = 2000, attack[125] = 0
idx[698] = 126, as[126] = 2000, attack[126] = 0
idx[699] = 127, as[127] = 2000, attack[127] = 0
idx[700] = 140, as[140] = 2000, attack[140] = 1
idx[701] = 141, as[141] = 2000, attack[141] = 1
idx[702] = 142, as[142] = 2000, attack[142] = 1
idx[703] = 143, as[143] = 2000, attack[143] = 1
idx[704] = 144, as[144] = 2000, attack[144] = 1
idx[705] = 820, as[820] = 2000, attack[820] = 1
idx[706] = 145, as[145] = 2000, attack[145] = 1
idx[707] = 818, as[818] = 2000, attack[818] = 1
idx[708] = 817, as[817] = 2000, attack[817] = 1
idx[709] = 146, as[146] = 2000, attack[146] = 1
idx[710] = 147, as[147] = 2000, attack[147] = 1
idx[711] = 814, as[814] = 2000, attack[814] = 0
idx[712] = 813, as[813] = 2000, attack[813] = 0
idx[713] = 812, as[812] = 2000, attack[812] = 1
idx[714] = 166, as[166] = 2000, attack[166] = 0
idx[715] = 167, as[167] = 2000, attack[167] = 0
idx[716] = 172, as[172] = 2000, attack[172] = 0
idx[717] = 173, as[173] = 2000, attack[173] = 0
idx[718] = 174, as[174] = 2000, attack[174] = 0
idx[719] = 175, as[175] = 2000, attack[175] = 0
idx[720] = 193, as[193] = 2000, attack[193] = 0
idx[721] = 194, as[194] = 2000, attack[194] = 0
idx[722] = 195, as[195] = 2000, attack[195] = 0
idx[723] = 801, as[801] = 2000, attack[801] = 0
idx[724] = 799, as[799] = 2000, attack[799] = 0
idx[725] = 1204, as[1204] = 2000, attack[1204] = 1
idx[726] = 797, as[797] = 2000, attack[797] = 1
idx[727] = 1205, as[1205] = 2000, attack[1205] = 1
idx[728] = 795, as[795] = 2000, attack[795] = 1
idx[729] = 794, as[794] = 2000, attack[794] = 1
idx[730] = 793, as[793] = 2000, attack[793] = 1
idx[731] = 792, as[792] = 2000, attack[792] = 1
idx[732] = 791, as[791] = 2000, attack[791] = 1
idx[733] = 790, as[790] = 2000, attack[790] = 1
idx[734] = 789, as[789] = 2000, attack[789] = 1
idx[735] = 788, as[788] = 2000, attack[788] = 1
idx[736] = 787, as[787] = 2000, attack[787] = 1
idx[737] = 786, as[786] = 2000, attack[786] = 1
idx[738] = 785, as[785] = 2000, attack[785] = 1
idx[739] = 784, as[784] = 2000, attack[784] = 1
idx[740] = 783, as[783] = 2000, attack[783] = 1
idx[741] = 782, as[782] = 2000, attack[782] = 1
idx[742] = 781, as[781] = 2000, attack[781] = 0
idx[743] = 196, as[196] = 2000, attack[196] = 0
idx[744] = 779, as[779] = 2000, attack[779] = 0
idx[745] = 778, as[778] = 2000, attack[778] = 0
idx[746] = 777, as[777] = 2000, attack[777] = 0
idx[747] = 773, as[773] = 2000, attack[773] = 0
idx[748] = 772, as[772] = 2000, attack[772] = 0
idx[749] = 771, as[771] = 2000, attack[771] = 0
idx[750] = 770, as[770] = 2000, attack[770] = 0
idx[751] = 769, as[769] = 2000, attack[769] = 0
idx[752] = 768, as[768] = 2000, attack[768] = 0
idx[753] = 753, as[753] = 2000, attack[753] = 0
idx[754] = 754, as[754] = 2000, attack[754] = 0
idx[755] = 755, as[755] = 2000, attack[755] = 0
idx[756] = 756, as[756] = 2000, attack[756] = 0
idx[757] = 757, as[757] = 2000, attack[757] = 0
idx[758] = 758, as[758] = 2000, attack[758] = 0
idx[759] = 759, as[759] = 2000, attack[759] = 0
idx[760] = 760, as[760] = 2000, attack[760] = 0
idx[761] = 761, as[761] = 2000, attack[761] = 0
idx[762] = 762, as[762] = 2000, attack[762] = 0
idx[763] = 763, as[763] = 2000, attack[763] = 0
idx[764] = 764, as[764] = 2000, attack[764] = 0
idx[765] = 765, as[765] = 2000, attack[765] = 0
idx[766] = 766, as[766] = 2000, attack[766] = 0
idx[767] = 1206, as[1206] = 2000, attack[1206] = 1
idx[768] = 246, as[246] = 0, attack[246] = 0
idx[769] = 751, as[751] = 0, attack[751] = 0
idx[770] = 750, as[750] = 0, attack[750] = 0
idx[771] = 749, as[749] = 0, attack[749] = 0
idx[772] = 748, as[748] = 0, attack[748] = 0
idx[773] = 747, as[747] = 0, attack[747] = 0
idx[774] = 774, as[774] = 0, attack[774] = 0
idx[775] = 775, as[775] = 0, attack[775] = 0
idx[776] = 776, as[776] = 0, attack[776] = 0
idx[777] = 746, as[746] = 0, attack[746] = 0
idx[778] = 745, as[745] = 0, attack[745] = 0
idx[779] = 744, as[744] = 0, attack[744] = 0
idx[780] = 743, as[743] = 0, attack[743] = 0
idx[781] = 742, as[742] = 0, attack[742] = 0
idx[782] = 741, as[741] = 0, attack[741] = 0
idx[783] = 740, as[740] = 0, attack[740] = 0
idx[784] = 739, as[739] = 0, attack[739] = 0
idx[785] = 738, as[738] = 0, attack[738] = 0
idx[786] = 737, as[737] = 0, attack[737] = 0
idx[787] = 736, as[736] = 0, attack[736] = 0
idx[788] = 735, as[735] = 0, attack[735] = 0
idx[789] = 734, as[734] = 0, attack[734] = 0
idx[790] = 733, as[733] = 0, attack[733] = 0
idx[791] = 732, as[732] = 0, attack[732] = 0
idx[792] = 731, as[731] = 0, attack[731] = 0
idx[793] = 730, as[730] = 0, attack[730] = 0
idx[794] = 729, as[729] = 0, attack[729] = 0
idx[795] = 728, as[728] = 0, attack[728] = 0
idx[796] = 727, as[727] = 0, attack[727] = 0
idx[797] = 726, as[726] = 0, attack[726] = 0
idx[798] = 725, as[725] = 0, attack[725] = 0
idx[799] = 724, as[724] = 0, attack[724] = 0
idx[800] = 800, as[800] = 0, attack[800] = 0
idx[801] = 723, as[723] = 0, attack[723] = 0
idx[802] = 722, as[722] = 0, attack[722] = 0
idx[803] = 721, as[721] = 0, attack[721] = 0
idx[804] = 720, as[720] = 0, attack[720] = 0
idx[805] = 719, as[719] = 0, attack[719] = 0
idx[806] = 718, as[718] = 0, attack[718] = 0
idx[807] = 717, as[717] = 0, attack[717] = 0
idx[808] = 716, as[716] = 0, attack[716] = 0
idx[809] = 715, as[715] = 0, attack[715] = 0
idx[810] = 714, as[714] = 0, attack[714] = 0
idx[811] = 152, as[152] = 0, attack[152] = 0
idx[812] = 713, as[713] = 0, attack[713] = 0
idx[813] = 712, as[712] = 0, attack[712] = 0
idx[814] = 711, as[711] = 0, attack[711] = 0
idx[815] = 710, as[710] = 0, attack[710] = 0
idx[816] = 709, as[709] = 0, attack[709] = 0
idx[817] = 708, as[708] = 0, attack[708] = 0
idx[818] = 707, as[707] = 0, attack[707] = 0
idx[819] = 706, as[706] = 0, attack[706] = 0
idx[820] = 705, as[705] = 0, attack[705] = 0
idx[821] = 704, as[704] = 0, attack[704] = 0
idx[822] = 822, as[822] = 0, attack[822] = 0
idx[823] = 823, as[823] = 0, attack[823] = 0
idx[824] = 703, as[703] = 0, attack[703] = 0
idx[825] = 702, as[702] = 0, attack[702] = 0
idx[826] = 701, as[701] = 0, attack[701] = 0
idx[827] = 700, as[700] = 0, attack[700] = 0
idx[828] = 128, as[128] = 0, attack[128] = 0
idx[829] = 699, as[699] = 0, attack[699] = 0
idx[830] = 698, as[698] = 0, attack[698] = 0
idx[831] = 697, as[697] = 0, attack[697] = 0
idx[832] = 696, as[696] = 0, attack[696] = 0
idx[833] = 695, as[695] = 0, attack[695] = 0
idx[834] = 694, as[694] = 0, attack[694] = 0
idx[835] = 104, as[104] = 0, attack[104] = 0
idx[836] = 693, as[693] = 0, attack[693] = 0
idx[837] = 200, as[200] = 0, attack[200] = 0
idx[838] = 201, as[201] = 0, attack[201] = 0
idx[839] = 202, as[202] = 0, attack[202] = 0
idx[840] = 203, as[203] = 0, attack[203] = 0
idx[841] = 204, as[204] = 0, attack[204] = 0
idx[842] = 205, as[205] = 0, attack[205] = 0
idx[843] = 206, as[206] = 0, attack[206] = 0
idx[844] = 207, as[207] = 0, attack[207] = 0
idx[845] = 208, as[208] = 0, attack[208] = 0
idx[846] = 680, as[680] = 0, attack[680] = 0
idx[847] = 679, as[679] = 0, attack[679] = 0
idx[848] = 678, as[678] = 0, attack[678] = 0
idx[849] = 677, as[677] = 0, attack[677] = 0
True Positives (TP): 289
False Positives (FP): 561
True Negatives (TN): 357
False Negatives (FN): 0
Precision: 0.34
Recall: 1
F1 Score: 0.507463
True Positive Rate (TPR): 1
False Positive Rate (FPR): 0.611111
Finished compute_accuracy.
